folder,id,display_name,description,type,units,domain,labels,calculation,commonly_used,forms
Measurements/Polysomnography/Respiratory Events/Hypopnea,hnrba5,"Number of Hypopnea with >=5% oxygen desaturation or arousal (Non-rapid eye movement sleep (NREM), Supine)","",numeric,hypopnea events,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,hnrbp,"Number of Hypopnea (Non-rapid eye movement sleep (NREM), Supine, all oxygen desaturations)","",numeric,hypopnea events,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,hnrbp2,"Number of Hypopnea (Non-rapid eye movement sleep (NREM), Supine, >=2% oxygen desaturation)","",numeric,hypopnea events,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,hnrbp3,"Number of Hypopnea (Non-rapid eye movement sleep (NREM), Supine, >=3% oxygen desaturation)","",numeric,hypopnea events,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,hnrbp4,"Number of Hypopnea (Non-rapid eye movement sleep (NREM), Supine, >=4% oxygen desaturation)","",numeric,hypopnea events,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,hnrbp5,"Number of Hypopnea (Non-rapid eye movement sleep (NREM), Supine, >=5% oxygen desaturation)","",numeric,hypopnea events,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,hnroa,"Number of Hypopnea w/ arousals (Non-rapid eye movement sleep (NREM), Non-supine, all oxygen desaturations)","",numeric,hypopnea events,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,hnroa2,"Number of Hypopnea with >=2% oxygen desaturation or arousal (Non-rapid eye movement sleep (NREM), Non-supine)","",numeric,hypopnea events,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,hnroa3,"Number of Hypopnea with >=3% oxygen desaturation or arousal (Non-rapid eye movement sleep (NREM), Non-supine)","",numeric,hypopnea events,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,hnroa4,"Number of Hypopnea with >=4% oxygen desaturation or arousal (Non-rapid eye movement sleep (NREM), Non-supine)","",numeric,hypopnea events,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,hnroa5,"Number of Hypopnea with >=5% oxygen desaturation or arousal (Non-rapid eye movement sleep (NREM), Non-supine)","",numeric,hypopnea events,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,hnrop,"Number of Hypopnea (Non-rapid eye movement sleep (NREM), Non-supine, all oxygen desaturations)","",numeric,hypopnea events,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,hnrop2,"Number of Hypopnea (Non-rapid eye movement sleep (NREM), Non-supine, >=2% oxygen desaturation)","",numeric,hypopnea events,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,hnrop3,"Number of Hypopnea (Non-rapid eye movement sleep (NREM), Non-supine, >=3% oxygen desaturation)","",numeric,hypopnea events,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,hnrop4,"Number of Hypopnea (Non-rapid eye movement sleep (NREM), Non-supine, >=4% oxygen desaturation)","",numeric,hypopnea events,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,hnrop5,"Number of Hypopnea (Non-rapid eye movement sleep (NREM), Non-supine, >=5% oxygen desaturation)","",numeric,hypopnea events,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,hremba,"Number of Hypopnea w/ arousals (Rapid eye movement sleep (REM), Supine, all oxygen desaturations)","",numeric,hypopnea events,"","","","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,hremba2,"Number of Hypopnea with >=2% oxygen desaturation or arousal (Rapid eye movement sleep (REM), Supine)","",numeric,hypopnea events,"","","","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,hremba3,"Number of Hypopnea with >=3% oxygen desaturation or arousal (Rapid eye movement sleep (REM), Supine)","",numeric,hypopnea events,"","","","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,hremba4,"Number of Hypopnea with >=4% oxygen desaturation or arousal (Rapid eye movement sleep (REM), Supine)","",numeric,hypopnea events,"","","","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,hremba5,"Number of Hypopnea with >=5% oxygen desaturation or arousal (Rapid eye movement sleep (REM), Supine)","",numeric,hypopnea events,"","","","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,hrembp,"Number of Hypopnea (Rapid eye movement sleep (REM), Supine, all oxygen desaturations)","",numeric,hypopnea events,"","","","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,hrembp2,"Number of Hypopnea (Rapid eye movement sleep (REM), Supine, >=2% oxygen desaturation)","",numeric,hypopnea events,"","","","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,hrembp3,"Number of Hypopnea (Rapid eye movement sleep (REM), Supine, >=3% oxygen desaturation)","",numeric,hypopnea events,"","","","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,hrembp4,"Number of Hypopnea (Rapid eye movement sleep (REM), Supine, >=4% oxygen desaturation)","",numeric,hypopnea events,"","","","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,hrembp5,"Number of Hypopnea (Rapid eye movement sleep (REM), Supine, >=5% oxygen desaturation)","",numeric,hypopnea events,"","","","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,hroa,"Number of Hypopnea w/ arousals (Rapid eye movement sleep (REM), Non-supine, all oxygen desaturations)","",numeric,hypopnea events,"","","","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,hroa2,"Number of Hypopnea with >=2% oxygen desaturation or arousal (Rapid eye movement sleep (REM), Non-supine)","",numeric,hypopnea events,"","","","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,hroa3,"Number of Hypopnea with >=3% oxygen desaturation or arousal (Rapid eye movement sleep (REM), Non-supine)","",numeric,hypopnea events,"","","","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,hroa4,"Number of Hypopnea with >=4% oxygen desaturation or arousal (Rapid eye movement sleep (REM), Non-supine)","",numeric,hypopnea events,"","","","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,hroa5,"Number of Hypopnea with >=5% oxygen desaturation or arousal (Rapid eye movement sleep (REM), Non-supine)","",numeric,hypopnea events,"","","","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,hrop,"Number of Hypopnea (Rapid eye movement sleep (REM), Non-supine, all oxygen desaturations)","",numeric,hypopnea events,"","","","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,hrop2,"Number of Hypopnea (Rapid eye movement sleep (REM), Non-supine, >=2% oxygen desaturation)","",numeric,hypopnea events,"","","","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,hrop3,"Number of Hypopnea (Rapid eye movement sleep (REM), Non-supine, >=3% oxygen desaturation)","",numeric,hypopnea events,"","","","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,hrop4,"Number of Hypopnea (Rapid eye movement sleep (REM), Non-supine, >=4% oxygen desaturation)","",numeric,hypopnea events,"","","","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,hrop5,"Number of Hypopnea (Rapid eye movement sleep (REM), Non-supine, >=5% oxygen desaturation)","",numeric,hypopnea events,"","","","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mnhnba,"Minimum Hypopnea length w/ arousals (Non-rapid eye movement sleep (NREM), Supine, all oxygen desaturations)","",numeric,seconds,"",duration;non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mnhnba2,"Minimum Hypopnea length with >=2% oxygen desaturation or arousal (Non-rapid eye movement sleep (NREM), Supine)","",numeric,seconds,"",duration;non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mnhnba3,"Minimum Hypopnea length with >=3% oxygen desaturation or arousal (Non-rapid eye movement sleep (NREM), Supine)","",numeric,seconds,"",duration;non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mnhnba4,"Minimum Hypopnea length with >=4% oxygen desaturation or arousal (Non-rapid eye movement sleep (NREM), Supine)","",numeric,seconds,"",duration;non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mnhnba5,"Minimum Hypopnea length with >=5% oxygen desaturation or arousal (Non-rapid eye movement sleep (NREM), Supine)","",numeric,seconds,"",duration;non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mnhnbp,"Minimum Hypopnea length (Non-rapid eye movement sleep (NREM), Supine, all oxygen desaturations)","",numeric,seconds,"",duration;non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mnhnbp2,"Minimum Hypopnea length (Non-rapid eye movement sleep (NREM), Supine, >=2% oxygen desaturation)","",numeric,seconds,"",duration;non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mnhnbp3,"Minimum Hypopnea length (Non-rapid eye movement sleep (NREM), Supine, >=3% oxygen desaturation)","",numeric,seconds,"",duration;non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mnhnbp4,"Minimum Hypopnea length (Non-rapid eye movement sleep (NREM), Supine, >=4% oxygen desaturation)","",numeric,seconds,"",duration;non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mnhnbp5,"Minimum Hypopnea length (Non-rapid eye movement sleep (NREM), Supine, >=5% oxygen desaturation)","",numeric,seconds,"",duration;non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mnhnoa,"Minimum Hypopnea length w/ arousals (Non-rapid eye movement sleep (NREM), Non-supine, all oxygen desaturations)","",numeric,seconds,"",duration;non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mnhnoa2,"Minimum Hypopnea length with >=2% oxygen desaturation or arousal (Non-rapid eye movement sleep (NREM), Non-supine)","",numeric,seconds,"",duration;non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mnhnoa3,"Minimum Hypopnea length with >=3% oxygen desaturation or arousal (Non-rapid eye movement sleep (NREM), Non-supine)","",numeric,seconds,"",duration;non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mnhnoa4,"Minimum Hypopnea length with >=4% oxygen desaturation or arousal (Non-rapid eye movement sleep (NREM), Non-supine)","",numeric,seconds,"",duration;non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mnhnoa5,"Minimum Hypopnea length with >=5% oxygen desaturation or arousal (Non-rapid eye movement sleep (NREM), Non-supine)","",numeric,seconds,"",duration;non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mnhnop,"Minimum Hypopnea length (Non-rapid eye movement sleep (NREM), Non-supine, all oxygen desaturations)","",numeric,seconds,"",duration;non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mnhnop2,"Minimum Hypopnea length (Non-rapid eye movement sleep (NREM), Non-supine, >=2% oxygen desaturation)","",numeric,seconds,"",duration;non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mnhnop3,"Minimum Hypopnea length (Non-rapid eye movement sleep (NREM), Non-supine, >=3% oxygen desaturation)","",numeric,seconds,"",duration;non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mnhnop4,"Minimum Hypopnea length (Non-rapid eye movement sleep (NREM), Non-supine, >=4% oxygen desaturation)","",numeric,seconds,"",duration;non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mnhnop5,"Minimum Hypopnea length (Non-rapid eye movement sleep (NREM), Non-supine, >=5% oxygen desaturation)","",numeric,seconds,"",duration;non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mnhrba,"Minimum Hypopnea length w/ arousals (Rapid eye movement sleep (REM), Supine, all oxygen desaturations)","",numeric,seconds,"",duration,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mnhrba2,"Minimum Hypopnea length with >=2% oxygen desaturation or arousal (Rapid eye movement sleep (REM), Supine)","",numeric,seconds,"",duration,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mnhrba3,"Minimum Hypopnea length with >=3% oxygen desaturation or arousal (Rapid eye movement sleep (REM), Supine)","",numeric,seconds,"",duration,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mnhrba4,"Minimum Hypopnea length with >=4% oxygen desaturation or arousal (Rapid eye movement sleep (REM), Supine)","",numeric,seconds,"",duration,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mnhrba5,"Minimum Hypopnea length with >=5% oxygen desaturation or arousal (Rapid eye movement sleep (REM), Supine)","",numeric,seconds,"",duration,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mnhrbp,"Minimum Hypopnea length (Rapid eye movement sleep (REM), Supine, all oxygen desaturations)","",numeric,seconds,"",duration,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mnhrbp2,"Minimum Hypopnea length (Rapid eye movement sleep (REM), Supine, >=2% oxygen desaturation)","",numeric,seconds,"",duration,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mnhrbp3,"Minimum Hypopnea length (Rapid eye movement sleep (REM), Supine, >=3% oxygen desaturation)","",numeric,seconds,"",duration,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mnhrbp4,"Minimum Hypopnea length (Rapid eye movement sleep (REM), Supine, >=4% oxygen desaturation)","",numeric,seconds,"",duration,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mnhrbp5,"Minimum Hypopnea length (Rapid eye movement sleep (REM), Supine, >=5% oxygen desaturation)","",numeric,seconds,"",duration,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mnhroa,"Minimum Hypopnea length w/ arousals (Rapid eye movement sleep (REM), Non-supine, all oxygen desaturations)","",numeric,seconds,"",duration,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mnhroa2,"Minimum Hypopnea length with >=2% oxygen desaturation or arousal (Rapid eye movement sleep (REM), Non-supine)","",numeric,seconds,"",duration,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mnhroa3,"Minimum Hypopnea length with >=3% oxygen desaturation or arousal (Rapid eye movement sleep (REM), Non-supine)","",numeric,seconds,"",duration,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mnhroa4,"Minimum Hypopnea length with >=4% oxygen desaturation or arousal (Rapid eye movement sleep (REM), Non-supine)","",numeric,seconds,"",duration,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mnhroa5,"Minimum Hypopnea length with >=5% oxygen desaturation or arousal (Rapid eye movement sleep (REM), Non-supine)","",numeric,seconds,"",duration,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mnhrop,"Minimum Hypopnea length (Rapid eye movement sleep (REM), Non-supine, all oxygen desaturations)","",numeric,seconds,"",duration,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mnhrop2,"Minimum Hypopnea length (Rapid eye movement sleep (REM), Non-supine, >=2% oxygen desaturation)","",numeric,seconds,"",duration,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mnhrop3,"Minimum Hypopnea length (Rapid eye movement sleep (REM), Non-supine, >=3% oxygen desaturation)","",numeric,seconds,"",duration,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mnhrop4,"Minimum Hypopnea length (Rapid eye movement sleep (REM), Non-supine, >=4% oxygen desaturation)","",numeric,seconds,"",duration,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mnhrop5,"Minimum Hypopnea length (Rapid eye movement sleep (REM), Non-supine, >=5% oxygen desaturation)","",numeric,seconds,"",duration,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mxhnba,"Maximum Hypopnea length w/ arousals (Non-rapid eye movement sleep (NREM), Supine, all oxygen desaturations)","",numeric,seconds,"",duration;non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mxhnba2,"Maximum Hypopnea length with >=2% oxygen desaturation or arousal (Non-rapid eye movement sleep (NREM), Supine)","",numeric,seconds,"",duration;non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mxhnba3,"Maximum Hypopnea length with >=3% oxygen desaturation or arousal (Non-rapid eye movement sleep (NREM), Supine)","",numeric,seconds,"",duration;non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mxhnba4,"Maximum Hypopnea length with >=4% oxygen desaturation or arousal (Non-rapid eye movement sleep (NREM), Supine)","",numeric,seconds,"",duration;non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mxhnba5,"Maximum Hypopnea length with >=5% oxygen desaturation or arousal (Non-rapid eye movement sleep (NREM), Supine)","",numeric,seconds,"",duration;non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mxhnbp,"Maximum Hypopnea length (Non-rapid eye movement sleep (NREM), Supine, all oxygen desaturations)","",numeric,seconds,"",duration;non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mxhnbp2,"Maximum Hypopnea length (Non-rapid eye movement sleep (NREM), Supine, >=2% oxygen desaturation)","",numeric,seconds,"",duration;non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mxhnbp3,"Maximum Hypopnea length (Non-rapid eye movement sleep (NREM), Supine, >=3% oxygen desaturation)","",numeric,seconds,"",duration;non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mxhnbp4,"Maximum Hypopnea length (Non-rapid eye movement sleep (NREM), Supine, >=4% oxygen desaturation)","",numeric,seconds,"",duration;non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mxhnbp5,"Maximum Hypopnea length (Non-rapid eye movement sleep (NREM), Supine, >=5% oxygen desaturation)","",numeric,seconds,"",duration;non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mxhnoa,"Maximum Hypopnea length w/ arousals (Non-rapid eye movement sleep (NREM), Non-supine, all oxygen desaturations)","",numeric,seconds,"",duration;non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mxhnoa2,"Maximum Hypopnea length with >=2% oxygen desaturation or arousal (Non-rapid eye movement sleep (NREM), Non-supine)","",numeric,seconds,"",duration;non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mxhnoa3,"Maximum Hypopnea length with >=3% oxygen desaturation or arousal (Non-rapid eye movement sleep (NREM), Non-supine)","",numeric,seconds,"",duration;non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mxhnoa4,"Maximum Hypopnea length with >=4% oxygen desaturation or arousal (Non-rapid eye movement sleep (NREM), Non-supine)","",numeric,seconds,"",duration;non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mxhnoa5,"Maximum Hypopnea length with >=5% oxygen desaturation or arousal (Non-rapid eye movement sleep (NREM), Non-supine)","",numeric,seconds,"",duration;non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mxhnop,"Maximum Hypopnea length (Non-rapid eye movement sleep (NREM), Non-supine, all oxygen desaturations)","",numeric,seconds,"",duration;non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mxhnop2,"Maximum Hypopnea length (Non-rapid eye movement sleep (NREM), Non-supine, >=2% oxygen desaturation)","",numeric,seconds,"",duration;non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mxhnop3,"Maximum Hypopnea length (Non-rapid eye movement sleep (NREM), Non-supine,>=3% oxygen desaturation)","",numeric,seconds,"",duration;non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mxhnop4,"Maximum Hypopnea length (Non-rapid eye movement sleep (NREM), Non-supine, >=4% oxygen desaturation)","",numeric,seconds,"",duration;non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mxhnop5,"Maximum Hypopnea length (Non-rapid eye movement sleep (NREM), Non-supine, >=5% oxygen desaturation)","",numeric,seconds,"",duration;non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mxhrba,"Maximum Hypopnea length w/ arousals (Rapid eye movement sleep (REM), Supine, all oxygen desaturations)","",numeric,seconds,"",duration,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mxhrba2,"Maximum Hypopnea length with >=2% oxygen desaturation or arousal (Rapid eye movement sleep (REM), Supine)","",numeric,seconds,"",duration,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mxhrba3,"Maximum Hypopnea length with >=3% oxygen desaturation or arousal (Rapid eye movement sleep (REM), Supine)","",numeric,seconds,"",duration,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mxhrba4,"Maximum Hypopnea length with >=4% oxygen desaturation or arousal (Rapid eye movement sleep (REM), Supine)","",numeric,seconds,"",duration,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mxhrba5,"Maximum Hypopnea length with >=5% oxygen desaturation or arousal (Rapid eye movement sleep (REM), Supine)","",numeric,seconds,"",duration,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mxhrbp,"Maximum Hypopnea length (Rapid eye movement sleep (REM), Supine, all oxygen desaturations)","",numeric,seconds,"",duration,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mxhrbp2,"Maximum Hypopnea length (Rapid eye movement sleep (REM), Supine, >=2% oxygen desaturation)","",numeric,seconds,"",duration,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mxhrbp3,"Maximum Hypopnea length (Rapid eye movement sleep (REM), Supine, >=3% oxygen desaturation)","",numeric,seconds,"",duration,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mxhrbp4,"Maximum Hypopnea length (Rapid eye movement sleep (REM), Supine, >=4% oxygen desaturation)","",numeric,seconds,"",duration,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mxhrbp5,"Maximum Hypopnea length (Rapid eye movement sleep (REM), Supine, >=5% oxygen desaturation)","",numeric,seconds,"",duration,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mxhroa,"Maximum Hypopnea length w/ arousals (Rapid eye movement sleep (REM), Non-supine, all oxygen desaturations)","",numeric,seconds,"",duration,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mxhroa2,"Maximum Hypopnea length with >=2% oxygen desaturation or arousal (Rapid eye movement sleep (REM), Non-supine)","",numeric,seconds,"",duration,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mxhroa3,"Maximum Hypopnea length with >=3% oxygen desaturation or arousal (Rapid eye movement sleep (REM), Non-supine)","",numeric,seconds,"",duration,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mxhroa4,"Maximum Hypopnea length with >=4% oxygen desaturation or arousal (Rapid eye movement sleep (REM), Non-supine)","",numeric,seconds,"",duration,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mxhroa5,"Maximum Hypopnea length with >=5% oxygen desaturation or arousal (Rapid eye movement sleep (REM), Non-supine)","",numeric,seconds,"",duration,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mxhrop,"Maximum Hypopnea length (Rapid eye movement sleep (REM), Non-supine, all oxygen desaturations)","",numeric,seconds,"",duration,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mxhrop2,"Maximum Hypopnea length (Rapid eye movement sleep (REM), Non-supine, >=2% oxygen desaturation)","",numeric,seconds,"",duration,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mxhrop3,"Maximum Hypopnea length (Rapid eye movement sleep (REM), Non-supine, >=3% oxygen desaturation)","",numeric,seconds,"",duration,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mxhrop4,"Maximum Hypopnea length (Rapid eye movement sleep (REM), Non-supine, >=4% oxygen desaturation)","",numeric,seconds,"",duration,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,mxhrop5,"Maximum Hypopnea length (Rapid eye movement sleep (REM), Non-supine, >=5% oxygen desaturation)","",numeric,seconds,"",duration,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,rdinba,"Hypopnea per hour w/ arousals (Non-rapid eye movement sleep (NREM), Supine, all oxygen desaturations)","",numeric,events per hour,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,rdinba2,"Hypopnea per hour with >=2% oxygen desaturation or arousal (Non-rapid eye movement sleep (NREM), Supine)","",numeric,events per hour,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,rdinba3,"Hypopnea per hour with >=3% oxygen desaturation or arousal (Non-rapid eye movement sleep (NREM), Supine)","",numeric,events per hour,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,rdinba4,"Hypopnea per hour with >=4% oxygen desaturation or arousal (Non-rapid eye movement sleep (NREM), Supine)","",numeric,events per hour,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,rdinba5,"Hypopnea per hour with >=5% oxygen desaturation or arousal (Non-rapid eye movement sleep (NREM), Supine)","",numeric,events per hour,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,rdinbp,"Hypopnea per hour (Non-rapid eye movement sleep (NREM), Supine, all oxygen desaturations)","",numeric,events per hour,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,rdinbp2,"Hypopnea per hour (Non-rapid eye movement sleep (NREM), Supine, >=2% oxygen desaturation)","",numeric,events per hour,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,rdinbp3,"Hypopnea per hour (Non-rapid eye movement sleep (NREM), Supine, >=3% oxygen desaturation)","",numeric,events per hour,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,rdinbp4,"Hypopnea per hour (Non-rapid eye movement sleep (NREM), Supine, >=4% oxygen desaturation)","",numeric,events per hour,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,rdinbp5,"Hypopnea per hour (Non-rapid eye movement sleep (NREM), Supine, >=5% oxygen desaturation)","",numeric,events per hour,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,rdinoa,"Hypopnea per hour w/ arousals (Non-rapid eye movement sleep (NREM), Non-supine, all oxygen desaturations)","",numeric,events per hour,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,rdinoa2,"Hypopnea per hour with >=2% oxygen desaturation or arousal (Non-rapid eye movement sleep (NREM), Non-supine)","",numeric,events per hour,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,rdinoa3,"Hypopnea per hour with >=3% oxygen desaturation or arousal (Non-rapid eye movement sleep (NREM), Non-supine)","",numeric,events per hour,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,rdinoa4,"Hypopnea per hour with >=4% oxygen desaturation or arousal (Non-rapid eye movement sleep (NREM), Non-supine)","",numeric,events per hour,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,rdinoa5,"Hypopnea per hour with >=5% oxygen desaturation or arousal (Non-rapid eye movement sleep (NREM), Non-supine)","",numeric,events per hour,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,rdinop,"Hypopnea per hour (Non-rapid eye movement sleep (NREM), Non-supine, all oxygen desaturations)","",numeric,events per hour,"",non-rem,"","",""
Measurements/Polysomnography/Respiratory Events/Hypopnea,rdinop2,"Hypopnea per hour (Non-rapid eye movement sleep (NREM), Non-supine, >=2% oxygen desaturation)","",numeric,events per hour,"",non-rem,"","",""
